标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
NIO,美股,US_BETA,1d,做空,2025-06-26T00:00:00.000Z,2025-06-27T00:00:00.000Z,1.7314767829197037,1.790558493387343,-0.03632214997651471,1,0.193107768485703,-0.0017721022169093366,-0.001269090916887605,0.5929392244255686
JD,美股,US_BETA,1d,做空,2025-06-27T00:00:00.000Z,2025-07-01T00:00:00.000Z,26.880481134730385,26.579731874982876,0.01142454979790862,2,0.18287812883380372,-0.0020324922988883528,-0.0013284689485721388,0.6023876856307682
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-28T00:00:00.000Z,2025-07-01T00:00:00.000Z,2270.775191802667,2241.7236692034166,0.010793658616724468,3,0.18584700596797374,-0.004913739107881345,-0.000044430911937559524,0.6235000685661096
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-28T00:00:00.000Z,2025-07-02T00:00:00.000Z,2270.775191802667,2396.6562910367697,-0.057235297905545365,4,0.18584700596797374,-0.004913739107881345,-0.000044430911937559524,0.6237000685661096
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-28T00:00:00.000Z,2025-07-01T00:00:00.000Z,2268.3195602216483,2239.8121322409356,0.010567641914584158,3,0.18626585008369836,-0.004831962094695152,-0.000041048889732957277,0.6225442846972984
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-28T00:00:00.000Z,2025-07-02T00:00:00.000Z,2268.3195602216483,2392.4236521971206,-0.05651190838884515,4,0.18626585008369836,-0.004831962094695152,-0.000041048889732957277,0.6227442846972984
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-29T00:00:00.000Z,2025-07-02T00:00:00.000Z,2330.883398272061,2396.279634697723,0.0027036133182504803,3,0.186555455126874,-0.0037008308954446793,-0.0005270878589424514,0.6132867194722081
BTCUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-29T00:00:00.000Z,2025-07-06T00:00:00.000Z,107537.85273744992,108367.89438546798,0.006962650542837426,7,0.1772734151773966,-0.0002002394867553112,-0.0009095257357012954,0.5923650569663168
BTCUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-29T00:00:00.000Z,2025-07-03T00:00:00.000Z,107537.85273744992,108764.44777568142,0.0036766703565896115,4,0.1772734151773966,-0.0002002394867553112,-0.0009095257357012954,0.5921650569663168
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2241.7236692034166,2350.59876409637,-0.05056758055806289,1,0.2109784099555769,-0.002563210640904382,0.000033399397588377006,0.5866012299592196
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2241.7236692034166,2362.6959968622537,-0.05576397839784768,1,0.2109784099555769,-0.002563210640904382,0.000033399397588377006,0.5868012299592196
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2241.7236692034166,2386.890462394021,-0.06635677407741726,1,0.2109784099555769,-0.002563210640904382,0.000033399397588377006,0.5870012299592196
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2239.8121322409356,2347.1025215443724,-0.04990151270235891,1,0.21093899278024691,-0.002585840024638325,0.00003106639521430093,0.5868106453953288
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2239.8121322409356,2359.023675911421,-0.055023903002621014,1,0.21093899278024691,-0.002585840024638325,0.00003106639521430093,0.5870106453953288
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-07-01T00:00:00.000Z,2025-07-02T00:00:00.000Z,2239.8121322409356,2359.023675911421,-0.05562390300262101,1,0.21093899278024691,-0.002585840024638325,0.00003106639521430093,0.5864106453953288
PDD,美股,MOM_SWING,1d,做空,2025-07-02T00:00:00.000Z,2025-07-08T00:00:00.000Z,106.2868147730782,109.99692153159418,-0.03650655700273863,3,0.1853140851360365,-0.0009660796747249547,-0.0011982667198965342,0.5927024960998533
PDD,美股,MOM_SWING,1d,做空,2025-07-03T00:00:00.000Z,2025-07-08T00:00:00.000Z,105.89834704571676,109.46962516976743,-0.035323643698696526,2,0.18267736845021296,-0.0014220944628002543,-0.0006830880727734548,0.5982490504182486
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-07-03T00:00:00.000Z,2025-07-09T00:00:00.000Z,2415.678404202198,2565.830175152949,-0.06375718561276777,6,0.21078918023668178,-0.0023430631437019547,0.0010066118952330987,0.5853762953792047
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-07-03T00:00:00.000Z,2025-07-09T00:00:00.000Z,2413.2594823594595,2536.5424299472907,-0.05348565758842335,6,0.21119498034934586,-0.00226116593264756,0.0010117861413597954,0.5836289416096516
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-07-04T00:00:00.000Z,2025-07-08T00:00:00.000Z,2337.9807365378806,2437.875073154433,-0.04452675777666045,4,0.18847209439667553,-0.006690183871890239,0.00021493906214959123,0.6360215630095155
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-07-04T00:00:00.000Z,2025-07-09T00:00:00.000Z,2337.9807365378806,2487.710845558489,-0.06564249046223156,5,0.18847209439667553,-0.006690183871890239,0.00021493906214959123,0.6362215630095155
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-07-04T00:00:00.000Z,2025-07-09T00:00:00.000Z,2335.76509875034,2458.818830078055,-0.05508240860074077,5,0.18864961920993217,-0.006644211501042808,0.0002185653536613938,0.6349259661771912
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-07-05T00:00:00.000Z,2025-07-09T00:00:00.000Z,2345.805528660118,2464.5026516284984,-0.052399728544496225,4,0.17600091193792752,-0.003675452515933827,-0.0002984761458299877,0.6208829635321628
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-07-05T00:00:00.000Z,2025-07-09T00:00:00.000Z,2343.5601713474834,2460.608970158587,-0.05174486603849547,4,0.17586688282939744,-0.0037039567410167224,-0.00029852868795886885,0.6212074982909677
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-07-05T00:00:00.000Z,2025-07-09T00:00:00.000Z,2343.5601713474834,2460.608970158587,-0.05234486603849547,4,0.17586688282939744,-0.0037039567410167224,-0.00029852868795886885,0.6206074982909677
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-07-06T00:00:00.000Z,2025-07-09T00:00:00.000Z,2396.0651290733945,2501.547091820729,-0.046022994812384886,3,0.1758582085215145,-0.002879484720190448,-0.0007955911970114623,0.6144179676260332
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-07-06T00:00:00.000Z,2025-07-09T00:00:00.000Z,2393.7950836401874,2509.2352583052007,-0.05062475217447023,3,0.1757078978962825,-0.0029073173247059036,-0.0007950261574703733,0.6143488521123239
MDB,美股,MOM_SWING,1d,做空,2025-07-08T00:00:00.000Z,2025-07-10T00:00:00.000Z,275.37167677158317,287.1548810561827,-0.04439018242814255,2,0.18041894721656393,-0.0008300253030985077,-0.0006785809060592262,0.5951385604288619
CLOV,美股,MOM_SWING,1d,做空,2025-07-09T00:00:00.000Z,2025-07-18T00:00:00.000Z,1.9257564607709372,1.7860328058885033,0.061906607037889284,7,0.1770276465236284,-0.005572379764603506,0.0008738013679419275,0.6355191326198155
CLOV,美股,US_BETA,1d,做空,2025-07-09T00:00:00.000Z,2025-07-11T00:00:00.000Z,1.9257564607709372,1.8103963117709305,0.04545075789990244,2,0.1770276465236284,-0.005572379764603506,0.0008738013679419275,0.6349191326198156
CLOV,美股,MOM_FAST,1d,做空,2025-07-09T00:00:00.000Z,2025-07-11T00:00:00.000Z,1.9257564607709372,1.7474725941345632,0.06899541173699796,2,0.1770276465236284,-0.005572379764603506,0.0008738013679419275,0.6353191326198155
CLOV,美股,MOM_TIGHT,1d,做空,2025-07-09T00:00:00.000Z,2025-07-11T00:00:00.000Z,1.9257564607709372,1.7894217392254748,0.052458009028459957,2,0.1770276465236284,-0.005572379764603506,0.0008738013679419275,0.6351191326198156
CLOV,美股,US_MICRO,1d,做空,2025-07-09T00:00:00.000Z,2025-07-11T00:00:00.000Z,1.9257564607709372,1.7946653823618388,0.05069655880274844,2,0.1770276465236284,-0.005572379764603506,0.0008738013679419275,0.6347191326198156
BILI,美股,MOM_SWING,1d,做空,2025-07-09T00:00:00.000Z,2025-07-15T00:00:00.000Z,15.987611181691848,16.635692893137193,-0.04213649441934721,4,0.1765606941287598,-0.0010789668216640604,-0.0003678027559126752,0.5999080348006053
RIVN,美股,MOM_SWING,1d,做空,2025-07-10T00:00:00.000Z,2025-07-16T00:00:00.000Z,16.164560547466184,14.83868054306833,0.0599179113826429,4,0.18292570084567783,-0.0026745032574638263,-0.0005120215143192508,0.6080895214508225
MDB,美股,US_BETA,1d,做空,2025-07-11T00:00:00.000Z,2025-07-15T00:00:00.000Z,266.94838804697605,275.8061643007713,-0.03538160607224381,2,0.17961436042284837,-0.0009087110269557911,-0.0004138332318891767,0.5957473487111955
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-07-12T00:00:00.000Z,2025-07-14T00:00:00.000Z,2743.6854827946877,2866.667791855852,-0.04662376344969978,2,0.1791330395693052,-0.0015084420792598776,0.0003567430595208004,0.6012917481441793
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-07-12T00:00:00.000Z,2025-07-15T00:00:00.000Z,2743.6854827946877,2891.2642536680846,-0.0553885161396396,3,0.1791330395693052,-0.0015084420792598776,0.0003567430595208004,0.6014917481441793
ETHUSDT,加密现货,MOM_SWING,1d,做空,2025-07-12T00:00:00.000Z,2025-07-15T00:00:00.000Z,2741.1088738018143,2885.8745813539235,-0.05441282656654373,3,0.17944421925956666,-0.0014151309546732466,0.00036844166726620535,0.6005212097704978
BABA,美股,MOM_SWING,1d,做空,2025-07-16T00:00:00.000Z,2025-07-18T00:00:00.000Z,92.29989859914852,95.39816727203494,-0.03516741144800132,2,0.18094167722092955,-0.0022115658694907927,0.000021778597967039095,0.605814519356857
BABA,美股,MOM_SWING,1d,做空,2025-07-17T00:00:00.000Z,2025-07-18T00:00:00.000Z,93.55204446280239,96.6573340094419,-0.03479317674424762,1,0.179135025184994,-0.0012131985350413246,0.000053488954934640044,0.5991283701471348
